Symbol,Coin,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Mkt Cap
MC,Merit Circle,$0.272774,-2.2%,-10.7%,1.4%,41.9%,"$13,301,507","458,315,739",632 Million,"$125,009,496"
GNS,Gains Network,$4.02,0.2%,-8.5%,-17.1%,-7.7%,"$9,256,311","30,314,973",30.3 Million,"$121,496,025"
WBETH,Wrapped Beacon ETH,"$1,712.31",-0.1%,-6.2%,-8.8%,-11.3%,"$304,517","70,938",70.9 Thousand,"$121,462,771"
BTC.B,Bitcoin Avalanche Bridged (BTC.b),"$26,666.61",-0.2%,-6.8%,-9.2%,-11.4%,"$6,108,169","4,552",4.55 Thousand,"$121,246,599"
BORA,BORA,$0.120567,-1.9%,-8.2%,-15.5%,-20.6%,"$4,078,492","993,750,000",1.21 Billion,"$120,414,947"
ONE,Harmony,$0.00977226,-0.5%,-6.4%,-15.6%,-22.1%,"$16,881,806","12,305,426,115",13.2 Billion,"$119,681,148"
AMP,Amp,$0.00212258,0.3%,-2.2%,-14.8%,2.9%,"$5,678,582","56,127,938,240",99.4 Billion,"$119,200,352"
USTC,TerraClassicUSD,$0.01206385,0.3%,-9.1%,-20.4%,-25.3%,"$6,923,265","9,789,824,568",9.8 Billion,"$117,987,516"
KUB,Bitkub Coin,$1.30,0.2%,-4.2%,-4.0%,-9.4%,"$601,346","88,850,000",110 Million,"$115,732,031"
CORE,Core,$0.730253,-0.9%,-7.4%,-17.3%,-21.5%,"$13,159,891","153,974,889",2.1 Billion,"$112,719,541"
SUSHI,Sushi,$0.586892,-1.7%,-13.6%,-18.0%,-20.5%,"$38,187,641","192,789,256",250 Million,"$112,559,429"
DGB,DigiByte,$0.00681412,0.1%,-6.0%,-15.1%,-15.4%,"$3,519,308","16,440,214,440",21 Billion,"$112,204,166"
STG,Stargate Finance,$0.537562,-0.8%,-8.0%,-12.0%,-16.3%,"$32,021,461","204,348,516",1 Billion,"$109,415,747"
POLY,Polymath,$0.121396,0.3%,-3.7%,-12.0%,-11.0%,"$90,403","898,550,830",1 Billion,"$109,007,938"
EWT,Energy Web,$2.25,2.0%,-0.5%,-8.5%,-15.0%,"$1,219,646","47,307,375",69 Million,"$106,022,397"
SSV,SSV Network,$14.96,-0.8%,-6.8%,-15.4%,-19.3%,"$10,030,206","7,085,673",11.1 Million,"$105,920,942"
KDA,Kadena,$0.436911,-0.0%,-6.9%,-17.0%,-28.8%,"$4,095,564","242,793,695",1 Billion,"$105,919,384"
HIVE,Hive,$0.282421,-0.6%,-7.5%,-18.7%,-20.0%,"$1,070,789","371,261,454",∞,"$104,846,624"
CDT,Blox,$0.154960,-1.3%,3.9%,-19.1%,10.2%,"$137,757","674,579,184",1 Billion,"$104,532,488"
LSK,Lisk,$0.714364,0.1%,-4.7%,-15.1%,-16.2%,"$3,493,562","144,818,773",-,"$103,370,966"
NU,NuCypher,$0.063588,-,-,-,-,-,"1,301,490,046",3.89 Billion,"$91,051,461"
UMA,UMA,$1.39,-0.4%,-6.5%,-15.0%,-12.7%,"$4,410,342","73,366,885",115 Million,"$102,048,188"
FLUX,Flux,$0.322662,-0.1%,-10.7%,-23.6%,-23.4%,"$9,172,651","316,488,585",440 Million,"$101,910,057"
DAG,Constellation,$0.03549902,-1.2%,-1.6%,-3.6%,-10.0%,"$416,522","2,886,542,495",3.55 Billion,"$101,711,840"
SKL,SKALE,$0.02174960,0.8%,-9.9%,-21.6%,-25.3%,"$11,920,205","4,673,852,671",5.11 Billion,"$101,337,076"
ZEN,Horizen,$7.22,0.7%,-7.4%,-16.2%,-11.7%,"$9,380,828","14,023,681",14 Million,"$100,606,044"
CET,CoinEx,$0.03331072,1.0%,-2.2%,2.0%,-10.2%,"$369,120","2,977,814,711",201 Million,"$98,861,871"
MURA,Murasaki,$1.71,-1.7%,-1.8%,1.6%,-8.7%,"$3,638","57,400,000",1 Billion,"$97,982,543"
KNC,Kyber Network Crystal,$0.539924,1.5%,-12.4%,-15.5%,-9.5%,"$20,777,332","181,672,720",228 Million,"$97,650,447"
LYXE,LUKSO [OLD],$6.28,-1.5%,-7.2%,-8.1%,-21.3%,"$500,495","15,575,916",100 Million,"$97,552,732"
EVER,Everscale,$0.053111,-0.1%,-2.4%,-9.4%,-9.3%,"$3,604,322","1,801,908,306",2.09 Billion,"$95,870,519"
STSOL,Lido Staked SOL,$24.53,-0.2%,-6.0%,-11.8%,-16.5%,"$2,440,426","3,900,412",3.9 Million,"$95,501,912"
PLA,PlayDapp,$0.170101,-3.3%,-9.1%,-9.2%,-1.2%,"$7,617,656","560,128,667",700 Million,"$95,202,056"
HXRO,HXRO,$0.152875,0.2%,1.6%,-6.2%,-12.7%,"$1,215","610,385,617",1 Billion,"$93,308,913"
DESO,Decentralized Social,$8.83,-0.8%,-1.8%,-0.9%,-2.2%,"$3,093,228","10,532,254",10.8 Million,"$93,094,601"
KUJI,Kujira,$0.792704,0.9%,-3.2%,-8.2%,-1.2%,"$504,052","115,935,082",122 Million,"$91,947,539"
SYN,Synapse,$0.481732,-0.5%,-7.8%,-14.3%,-33.1%,"$5,940,078","190,117,589",185 Million,"$91,438,876"
BLD,Agoric,$0.153491,2.3%,-2.4%,17.7%,40.1%,"$267,324","593,427,870",1.05 Billion,"$90,913,297"
CTSI,Cartesi,$0.122111,0.6%,-10.0%,-18.1%,-20.9%,"$7,114,959","743,544,691",1 Billion,"$90,264,698"
CKB,Nervos Network,$0.00269299,-1.1%,-6.9%,-12.2%,-4.3%,"$3,801,429","33,340,636,263",∞,"$89,949,021"
POLYX,Polymesh,$0.105211,0.0%,-7.3%,-18.8%,-23.7%,"$2,998,130","844,737,715",845 Million,"$88,652,951"
ULT,Shardus,$0.200779,-0.3%,-7.2%,-9.9%,50.7%,$364,"439,556,760",1 Billion,"$88,253,570"
WCFG,Wrapped Centrifuge,$0.243945,-1.6%,-3.6%,-20.3%,-22.5%,"$145,053","360,263,043",-,"$88,039,585"
MRS,Metars Genesis,$1.41,-0.2%,-6.8%,-9.5%,-11.3%,"$54,913","62,850,000",1 Billion,"$87,969,489"
CFG,Centrifuge,$0.243236,-1.4%,-3.4%,-20.7%,-22.6%,"$527,547","360,263,043",447 Million,"$87,522,883"
RSR,Reserve Rights,$0.00171408,-1.5%,-14.9%,-19.2%,-21.3%,"$19,275,610","50,600,000,000",100 Billion,"$87,451,479"
QANX,QANplatform,$0.03814854,0.2%,-0.8%,32.3%,96.4%,"$644,333","2,267,255,629",3.33 Billion,"$86,456,398"
SNT,Status,$0.02135211,-0.0%,-6.3%,-17.7%,-17.3%,"$2,244,813","3,960,483,788",6.8 Billion,"$84,561,650"
PUNDIX,Pundi X,$0.324099,-0.9%,-6.4%,-15.7%,-19.7%,"$2,459,874","258,428,346",258 Million,"$84,441,132"
ERG,Ergo,$1.16,-0.5%,-2.3%,-2.8%,-1.4%,"$347,068","72,618,453",97.7 Million,"$84,374,667"
SFM,SafeMoon,$0.00015029,2.8%,3.3%,-3.0%,-14.2%,"$1,167,608","558,716,764,108",1 Trillion,"$84,068,167"
TRAC,OriginTrail,$0.217907,-0.4%,-7.0%,-7.7%,-15.1%,"$996,996","382,798,499",500 Million,"$83,855,424"
VVS,VVS Finance,$0.00000225,-0.5%,-4.2%,-9.6%,-16.1%,"$509,230","37,017,211,027,520",74.2 Trillion,"$83,321,605"
ORDI,ORDI,$3.94,0.3%,-21.6%,-29.8%,-46.6%,"$22,037,312","21,000,000",21 Million,"$83,047,185"
FX,Function X,$0.128731,0.1%,-5.8%,-12.9%,-13.2%,"$759,730","638,899,630",639 Million,"$82,256,912"
JOE,JOE,$0.240550,0.0%,-7.9%,-18.6%,-32.1%,"$6,638,626","341,459,396",476 Million,"$81,855,252"
MLK,MiL.k Alliance,$0.268934,-1.0%,-7.0%,-16.1%,-22.0%,"$4,597,115","303,710,477",986 Million,"$81,812,926"
EDU,Open Campus,$0.436273,0.8%,-15.4%,-26.6%,-33.7%,"$15,474,017","187,395,833",1 Billion,"$81,544,740"
API3,API3,$0.951097,0.8%,-13.0%,-11.2%,-12.4%,"$12,342,853","86,423,160",126 Million,"$81,425,185"
DEXE,DeXe,$2.22,1.4%,2.2%,-0.9%,-4.8%,"$2,605,149","36,499,816",96.5 Million,"$80,883,840"
TEL,Telcoin,$0.00113898,0.0%,-1.7%,-11.9%,-25.4%,"$881,746","70,681,972,844",100 Billion,"$80,235,792"
PYR,Vulcan Forged,$3.34,1.4%,5.7%,6.7%,2.4%,"$8,525,165","23,897,700",50 Million,"$79,927,428"
EXRD,e-Radix,$0.052805,-0.2%,-7.5%,0.9%,-11.2%,"$488,695","1,512,741,582",1.51 Billion,"$79,879,123"
KAG,Kinesis Silver,$22.98,-0.0%,2.2%,0.1%,-8.7%,"$119,558","3,416,620",∞,"$78,478,700"
HEZ,Hermez Network,$4.67,0.2%,-1.0%,1.7%,-8.7%,"$54,466","16,706,072",19 Million,"$77,958,544"
KAU,Kinesis Gold,$61.07,0.0%,0.2%,-1.1%,-4.1%,"$66,284","1,275,075",∞,"$77,822,573"
NRV,Nerve Finance,$0.00348678,1.3%,1.2%,-3.7%,7.9%,"$15,998",0,136 Million,"$44,206,960"
BRISE,Bitgert,$0.000000195286,-0.1%,-3.4%,-14.1%,-24.6%,"$1,872,020","395,688,215,721,653",427 Trillion,"$77,117,763"
SURE,inSure DeFi,$0.00290947,-0.2%,-8.2%,-11.5%,-20.3%,"$13,791","26,463,784,397",88 Billion,"$77,037,538"
SWETH,Swell Ethereum,"$1,731.35",-0.1%,-6.0%,-8.7%,-11.6%,"$709,300","44,428",44.4 Thousand,"$76,907,925"
PRIME,Echelon Prime,$3.38,-2.4%,17.2%,39.3%,104.6%,"$5,493,328","22,738,698",111 Million,"$76,659,829"
XNO,Nano,$0.574818,-0.1%,-4.2%,-13.0%,-18.0%,"$1,319,773","133,248,290",133 Million,"$76,659,240"
DKA,dKargo,$0.02502638,0.1%,-6.6%,-21.1%,-19.1%,"$1,943,530","3,059,166,667",5 Billion,"$76,523,660"
EMAID,MaidSafeCoin,$0.180292,-0.6%,1.3%,3.7%,-8.7%,"$5,467",0,2.3 Million,"$67,872,533"
DEL,Decimal,$0.01609830,-0.0%,-1.8%,0.7%,-25.1%,"$1,371","4,724,557,143",4.72 Billion,"$76,015,901"
NYM,Nym,$0.142209,0.2%,-6.5%,-14.8%,-24.0%,"$939,212","528,446,257",1 Billion,"$75,123,155"
W$C,World$tateCoin,$0.080701,0.4%,-1.0%,-1.1%,3.2%,"$792,257","927,612,548",995 Million,"$74,855,982"
OETH,Origin Ether,"$1,690.94",-0.1%,-5.9%,-8.6%,-11.5%,"$3,793,615","44,222",44.2 Thousand,"$74,730,337"
STPT,STP,$0.03850646,0.3%,-6.0%,-18.8%,-10.2%,"$1,406,780","1,942,420,283",1.94 Billion,"$74,595,762"
RLC,iExec RLC,$1.03,-0.0%,-8.2%,-17.8%,-15.4%,"$7,311,125","72,382,548",87 Million,"$74,593,112"
SAVAX,BENQI Liquid Staked AVAX,$11.73,-0.2%,-6.2%,-14.2%,-23.6%,"$350,798","6,361,971",6.36 Million,"$74,505,741"
LQTY,Liquity,$0.793888,-0.1%,-9.2%,-22.1%,-31.3%,"$18,643,854","93,049,336",100 Million,"$73,762,197"
C98,Coin98,$0.132081,-0.6%,-10.4%,-15.3%,-11.5%,"$18,161,203","553,333,323",1 Billion,"$73,205,749"
IQ,IQ,$0.00440542,-2.2%,-3.5%,-16.9%,-9.1%,"$1,046,510","16,394,993,053",16.4 Billion,"$72,267,895"
RDNT,Radiant Capital,$0.244823,-0.3%,-8.3%,-13.8%,-14.6%,"$32,536,372","294,992,353",1 Billion,"$72,197,842"
MTL,Metal DAO,$1.11,0.9%,-4.3%,-16.1%,-20.1%,"$37,667,929","64,633,864",66.6 Million,"$71,695,465"
STRD,Stride,$0.822633,1.5%,2.4%,-2.7%,-18.1%,"$223,920","86,883,961",86.9 Million,"$71,581,087"
WNXM,Wrapped NXM,$29.87,1.2%,-2.7%,-4.3%,-0.5%,"$2,016,034","2,384,116",2.38 Million,"$71,253,318"
ASTRAFER,Astrafer,$0.443255,-2.4%,-8.1%,-12.9%,-27.7%,"$21,947","156,553,961",888 Million,"$71,247,543"
NMR,Numeraire,$11.28,0.7%,-6.9%,-13.4%,-15.1%,"$3,817,363","6,277,410",10.8 Million,"$70,475,762"
DOCK,Dock,$0.01393342,0.3%,-2.8%,-6.6%,-16.3%,"$442,443",0,1 Billion,"$41,561,477"
ELON,Dogelon Mars,$0.000000127821,1.2%,-6.4%,-15.2%,-18.1%,"$11,193,697","549,649,971,723,242",1 Quadrillion,"$70,297,409"
STEEM,Steem,$0.158053,-0.9%,-4.0%,-14.3%,-14.7%,"$1,264,829","441,566,168",∞,"$69,834,792"
UW3S,Utility Web3Shot,$0.132644,-0.0%,-7.1%,-10.2%,-11.5%,"$345,835","526,600,000",10 Billion,"$69,824,336"
ACH,Alchemy Pay,$0.01409491,2.5%,-9.4%,-16.7%,-24.1%,"$11,792,337","4,943,691,067",10 Billion,"$69,644,751"
PROM,Prom,$3.82,0.9%,-2.6%,-7.3%,-3.6%,"$1,198,952","18,250,000",19.3 Million,"$69,566,125"
SHR,Share,$0.00136078,-0.1%,-2.2%,-10.5%,-20.0%,"$53,359",0,4.4 Billion,"$39,132,688"
ACS,Access Protocol,$0.00226961,0.9%,-5.4%,13.5%,-15.2%,"$1,534,679","30,292,656,939",89.6 Billion,"$68,718,812"
PCX,ChainX,$0.084912,3.5%,-9.5%,-10.5%,-41.4%,"$364,995",0,21 Million,"$42,450,138"
ORBS,Orbs,$0.02125845,-0.3%,-5.5%,-18.1%,-18.6%,"$1,822,513","3,217,486,459",10 Billion,"$68,262,954"
WILD,Wilder World,$0.264666,-0.1%,-3.0%,-4.6%,-19.2%,"$684,388","254,186,363",500 Million,"$67,328,693"
MVL,MVL,$0.00285763,-1.1%,-6.9%,-21.5%,-14.8%,"$2,274,264","23,452,958,863",27.8 Billion,"$66,815,954"
SGB,Songbird,$0.00569916,-2.2%,-4.1%,-12.2%,-10.6%,"$653,090","11,684,707,899",17.5 Billion,"$66,628,436"
ALPHA,Stella,$0.082688,0.6%,-10.2%,-19.3%,-21.2%,"$3,783,222","798,000,000",1 Billion,"$65,906,221"
SDEX,SmarDex,$0.00957789,-0.6%,-2.8%,-6.2%,3.7%,"$912,406","6,819,711,879",10 Billion,"$65,649,242"
DODO,DODO,$0.104250,11.7%,-0.5%,-6.5%,6.7%,"$24,625,701","614,617,713",996 Million,"$65,607,897"
MED,Medibloc,$0.00958552,-0.8%,-6.1%,-22.0%,-20.7%,"$2,536,891","6,832,129,723",8.87 Billion,"$65,441,558"
LINA,Linear,$0.01175702,1.0%,-8.7%,-17.7%,-12.6%,"$17,823,852","5,521,470,045",10 Billion,"$64,894,874"
RAD,Radworks,$1.30,0.6%,-10.6%,-17.8%,-17.8%,"$8,363,420","49,829,111",100 Million,"$64,740,304"
CELR,Celer Network,$0.01140756,1.2%,-7.9%,-19.1%,-26.0%,"$6,752,401","5,645,454,936",10 Billion,"$64,445,764"
OMG,OMG Network,$0.459327,2.0%,-9.8%,-18.6%,-28.0%,"$22,552,136","140,245,398",140 Million,"$64,382,550"
SYS,Syscoin,$0.089574,-0.0%,-7.2%,-15.9%,-20.5%,"$1,462,056","717,728,953",747 Million,"$64,279,311"
RIF,RSK Infrastructure Framework,$0.065941,0.4%,-6.7%,-12.4%,-23.8%,"$587,312","973,360,001",1 Billion,"$64,205,155"
SCRT,Secret,$0.302597,0.3%,-5.3%,-6.8%,-16.4%,"$2,304,297","211,078,254",∞,"$63,876,655"
POND,Marlin,$0.00787330,0.7%,-3.6%,-6.5%,-2.5%,"$1,864,908","8,087,375,977",5.03 Billion,"$63,673,372"
DENT,Dent,$0.00066150,0.6%,-6.6%,-14.7%,-16.9%,"$5,592,908","95,654,960,453",100 Billion,"$63,094,082"
VTHO,VeThor,$0.00094419,0.5%,-6.0%,-12.2%,-18.0%,"$1,209,220","65,991,471,554",∞,"$62,280,464"
ARDR,Ardor,$0.060788,-0.5%,-5.5%,-18.7%,-17.3%,"$839,504","998,466,231",998 Million,"$61,263,638"
SLP,Smooth Love Potion,$0.00146800,1.4%,-2.9%,-14.3%,-11.6%,"$7,409,572","41,632,225,630",∞,"$60,985,183"
TON,Tokamak Network,$1.26,0.3%,-4.1%,-14.0%,-15.1%,"$1,821,741","48,117,794",50 Million,"$60,846,754"
STRAX,Stratis,$0.399688,0.4%,-6.0%,-13.8%,-16.1%,"$1,215,449","152,294,517",-,"$60,834,909"
AVINOC,AVINOC,$0.363911,-0.5%,-1.9%,-7.4%,-6.3%,"$80,456","167,018,564",1 Billion,"$60,757,186"
WIN,WINkLink,$0.00006216,-0.0%,-2.7%,-7.5%,-10.3%,"$18,670,236","961,737,300,000",999 Billion,"$59,693,919"
BNT,Bancor Network,$0.405445,1.0%,-11.3%,-34.4%,5.2%,"$2,614,138","146,101,860",146 Million,"$59,236,198"
XIDO,Xido Finance,$2.09,-0.2%,0.4%,-7.2%,-11.1%,"$8,375","28,314,464",100 Million,"$59,015,386"
ALI,Artificial Liquid Intelligence,$0.01628775,0.2%,-0.5%,-3.5%,-16.4%,"$325,374","3,588,163,660",10 Billion,"$58,449,328"
METIS,Metis,$13.31,-0.0%,-6.3%,-16.1%,-21.8%,"$2,002,356","4,354,321",5.41 Million,"$58,083,554"
XCAD,XCAD Network,$1.35,-0.0%,-6.3%,-2.2%,40.9%,"$2,438,359","42,821,728",199 Million,"$57,792,172"
CCD,Concordium,$0.00755489,-0.0%,-2.3%,-4.6%,-9.1%,"$425,116","7,635,135,252",12.3 Billion,"$57,748,657"
CVC,Civic,$0.071519,1.4%,-5.7%,-18.0%,-18.0%,"$3,574,688","802,000,010",1 Billion,"$57,300,547"
ANKRETH,Ankr Staked ETH,"$1,898.60",0.0%,-6.0%,-8.8%,-11.7%,"$336,616","30,207",30.2 Thousand,"$57,330,464"
ALICE,My Neighbor Alice,$0.734857,1.0%,-11.6%,-20.1%,-27.8%,"$20,112,691","77,828,571",100 Million,"$57,135,721"
COL,Clash of Lilliput,$0.695965,-0.1%,-6.7%,-9.4%,-11.2%,"$52,935","82,074,400",1 Billion,"$57,091,921"
ARKM,Arkham,$0.377771,2.0%,-1.3%,-9.3%,-44.6%,"$13,072,624","150,000,000",1 Billion,"$56,561,706"
NKN,NKN,$0.086768,0.5%,-9.3%,-13.9%,-9.3%,"$4,442,270","650,000,000",1 Billion,"$56,384,288"
POWR,Power Ledger,$0.130714,0.8%,-6.5%,-17.2%,-16.8%,"$3,268,284","429,712,892",1 Billion,"$56,157,773"
HUNT,Hunt,$0.279982,-1.2%,-8.7%,-19.8%,-16.5%,"$714,054","198,912,688",199 Million,"$55,769,369"
HFT,Hashflow,$0.316906,0.5%,-7.5%,-13.3%,-13.1%,"$14,550,083","175,229,156",1 Billion,"$55,477,302"
XVS,Venus,$3.64,1.0%,-10.1%,-16.5%,-19.6%,"$3,193,514","15,209,900",29.7 Million,"$55,362,151"
XVG,Verge,$0.00334873,0.9%,-9.5%,-21.7%,-44.6%,"$18,050,937","16,520,880,394",16.6 Billion,"$55,345,159"
CQT,Covalent,$0.090795,0.6%,-2.8%,-6.2%,-17.1%,"$995,478","607,920,038",1 Billion,"$55,200,557"
MATICX,Stader MaticX,$0.615334,-0.2%,-8.0%,-16.1%,-23.2%,"$243,764","89,280,836",89.3 Million,"$54,937,991"
BFC,Bifrost,$0.03942597,-1.8%,-4.2%,-10.0%,-10.7%,"$865,185","1,393,101,227",2.37 Billion,"$54,933,013"
UXP,UXD Protocol,$0.01383801,0.9%,-0.4%,-6.3%,51.6%,"$15,126","3,963,094,287",7 Billion,"$54,841,319"
STMX,StormX,$0.00495173,0.9%,-11.5%,-24.3%,-4.9%,"$16,045,785","11,000,000,000",12.5 Billion,"$54,669,481"
GEL,Gelato,$0.247146,0.0%,-5.0%,-3.7%,-9.7%,"$712,745","219,711,590",421 Million,"$54,330,022"
MAV,Maverick Protocol,$0.216502,4.4%,-6.3%,-23.0%,-36.4%,"$6,643,231","250,000,000",2 Billion,"$54,164,446"
FIDU,Fidu,$0.760551,-,-,-,-,-,"67,746,977",67.7 Million,"$51,525,024"
EUROC,Euro Coin,$1.09,0.8%,1.2%,-0.5%,-2.6%,"$2,121,837","49,394,055",49.4 Million,"$53,945,321"
ID,SPACE ID,$0.187231,0.4%,-13.0%,-29.0%,-29.6%,"$22,539,503","286,000,000",2 Billion,"$53,377,542"
TRYB,BiLira,$0.03590768,1.0%,0.5%,-0.9%,-0.8%,"$49,546","1,486,360,982",1.49 Billion,"$53,279,309"
GTC,Gitcoin,$0.871296,0.7%,-13.2%,-19.3%,-18.2%,"$16,612,278","60,863,372",100 Million,"$52,992,238"
PENDLE,Pendle,$0.546068,2.3%,-8.9%,-21.8%,-35.7%,"$10,736,191","96,950,723",258 Million,"$52,935,285"
CANTO,CANTO,$0.100627,0.4%,-2.8%,-3.7%,-26.2%,"$6,788,686","523,866,982",1 Billion,"$52,729,139"
MDX,Mdex (HECO),$0.055367,0.2%,-4.6%,-3.5%,-14.0%,"$254,165","950,246,687",1.06 Billion,"$52,667,069"
QKC,QuarkChain,$0.00763802,-0.0%,-6.7%,-20.4%,-16.7%,"$881,330","6,881,561,472",10 Billion,"$52,531,213"
BETA,Beta Finance,$0.074785,2.0%,-2.6%,-10.7%,-11.7%,"$2,153,249","707,575,758",1 Billion,"$52,305,350"
CHR,Chromia,$0.090795,-1.2%,-12.4%,-21.7%,-23.0%,"$13,944,520","572,296,409",572 Million,"$51,939,211"
SX,SX Network,$0.105823,0.2%,-3.8%,-4.9%,-4.4%,"$314,230","489,600,000",1 Billion,"$51,838,000"
KEEP,Keep Network,$0.093538,-0.3%,-7.6%,-18.4%,-18.7%,"$116,770","549,716,300",1 Billion,"$51,419,113"
SWEAT,Sweatcoin (Sweat Economy),$0.00658525,0.8%,1.2%,-1.6%,9.7%,"$890,867","7,794,188,836",22.6 Billion,"$51,268,660"
REQ,Request,$0.066145,0.3%,-8.1%,-17.1%,-16.7%,"$1,617,875","768,822,835",1 Billion,"$50,866,251"
KODA,Koda Cryptocurrency,$0.00002839,-,-,-,-,-,0,33 Billion,"$21,848,398"
SUN,Sun Token,$0.00523496,0.2%,-4.4%,-4.6%,-9.9%,"$18,458,963","9,563,576,472",19.9 Billion,"$50,075,308"
MBOX,Mobox,$0.241636,-0.2%,-7.0%,-14.2%,-16.6%,"$3,398,398","207,075,396",399 Million,"$50,030,326"
BZR,Bazaars,$4.28,-0.3%,6.0%,8.1%,181.9%,"$904,225","11,672,346",556 Million,"$50,023,049"
POKT,Pocket Network,$0.03228040,-0.6%,-2.6%,15.6%,14.8%,"$540,253","1,548,744,251",1.64 Billion,"$49,871,054"
DOLA,DOLA,$0.989401,-0.1%,-0.5%,-0.7%,-0.7%,"$1,641,899","50,486,962",63.2 Million,"$49,819,168"
GAL,Galxe,$1.07,1.5%,-1.6%,-10.0%,-14.7%,"$17,448,004","46,545,330",200 Million,"$49,774,507"
BOB,BOB,$1.00,0.1%,0.2%,0.1%,0.1%,"$6,170,018","49,505,504",∞,"$49,609,179"
DEXT,DexTools,$0.523597,1.0%,-1.8%,-9.1%,-11.2%,"$165,402","94,344,232",137 Million,"$49,416,595"
CEL,Celsius Network,$0.115514,0.5%,-12.7%,-25.7%,-31.0%,"$705,054","423,415,980",693 Million,"$49,269,617"
PHA,Phala,$0.082477,-0.2%,-5.7%,-10.8%,-20.2%,"$4,076,849","596,369,700",1 Billion,"$49,180,347"
MIM,Magic Internet Money,$1.00,0.3%,0.1%,1.8%,1.7%,"$352,816","49,121,640",172 Million,"$49,153,255"
PEOPLE,ConstitutionDAO,$0.00966674,0.8%,-11.0%,-23.6%,-30.6%,"$9,648,271","5,067,211,002",5.07 Billion,"$48,958,583"
COTI,COTI,$0.03987277,-0.6%,-9.4%,-16.0%,-24.2%,"$6,076,307","1,219,255,922",2 Billion,"$48,738,903"
ATOR,AirTor Protocol,$0.665124,0.8%,28.7%,3.8%,89.3%,"$1,533,607","73,103,754",100 Million,"$48,615,370"
DNX,Dynex,$0.719406,-1.7%,14.4%,-25.8%,99.6%,"$848,437","67,062,379",67.1 Million,"$48,427,251"
CWEB,Coinweb,$0.01502153,-0.1%,2.1%,-14.7%,-29.3%,"$185,210","3,199,694,933",7.64 Billion,"$48,146,084"
XSGD,XSGD,$0.737093,0.2%,0.4%,-0.5%,-2.5%,"$7,562,030","65,098,661",65.1 Million,"$47,995,741"
GMT,Gomining Token,$0.109557,-1.3%,-6.3%,-10.3%,-20.3%,"$425,289","436,915,240",437 Million,"$47,906,484"
ECOIN,Ecoin,$0.00009390,-,-,-,-,-,"461,121,735,617",1 Trillion,"$43,297,214"
EUL,Euler,$2.52,0.9%,-2.1%,-1.7%,-7.8%,"$349,663","18,682,030",27.2 Million,"$46,981,810"
TEMPLE,TempleDAO,$1.03,-0.7%,-2.0%,-2.0%,1.0%,"$318,790","45,681,745",167 Million,"$46,869,743"
LEASH,Doge Killer,$430.82,0.6%,-5.4%,-21.4%,7.0%,"$3,637,104","107,526",108 Thousand,"$46,457,712"
CTK,Shentu,$0.497559,1.5%,-6.8%,-10.6%,-15.9%,"$2,674,963","93,173,012",124 Million,"$46,408,718"
REN,REN,$0.04640086,0.6%,-7.5%,-21.4%,-31.6%,"$10,378,787","1,000,000,000",1 Billion,"$46,261,547"
RSS3,RSS3,$0.094350,0.3%,-8.3%,-23.8%,-10.2%,"$1,762,761","489,250,000",1 Billion,"$46,109,278"
DFUK,DFUK,$2.13,-,-,-,-,-,"21,000,000",21 Million,"$44,753,402"
WMT,World Mobile Token,$0.106115,-0.3%,-7.6%,-21.6%,-15.2%,"$553,262","433,783,084",2 Billion,"$45,967,706"
SPELL,Spell,$0.00038583,0.4%,-6.7%,-18.8%,-20.3%,"$7,142,431","119,021,877,441",196 Billion,"$45,908,167"
THOR,THORSwap,$0.341160,-0.2%,7.9%,35.6%,296.6%,"$959,331","133,289,594",465 Million,"$45,644,266"
MBX,Marblex,$0.760510,0.1%,-6.5%,-5.7%,-27.0%,"$1,107,269","60,412,942",326 Million,"$45,618,445"
XYO,XYO Network,$0.00323201,0.7%,-3.7%,-8.1%,-9.7%,"$1,249,950","13,931,216,938",13.9 Billion,"$45,126,690"
UOS,Ultra,$0.166334,-0.1%,-3.6%,-6.7%,-6.6%,"$1,162,615","270,391,922",1 Billion,"$44,939,852"
CYBER,CyberConnect,$4.07,4.3%,-3.7%,,,"$27,618,094","11,038,000",100 Million,"$44,900,045"
VRA,Verasity,$0.00432437,-0.8%,0.1%,-5.4%,-5.6%,"$12,095,167","10,305,680,354",110 Billion,"$44,885,059"
FUN,FUNToken,$0.00420682,-0.5%,-1.2%,-16.0%,-8.0%,"$8,511,498","10,598,879,189",11 Billion,"$44,620,230"
NXRA,AllianceBlock Nexera,$0.060161,-1.2%,2.0%,0.1%,-7.4%,"$595,120","738,948,682",850 Million,"$44,535,441"
RLY,Rally,$0.00907365,0.2%,-4.0%,43.8%,33.6%,"$8,805,988","5,011,892,646",15 Billion,"$44,279,509"
BTM,Bytom,$0.02442102,0.3%,-4.1%,-4.5%,-15.7%,"$151,027","1,800,654,319",2.1 Billion,"$43,824,039"
MBL,MovieBloc,$0.00265521,-0.7%,-9.8%,-18.5%,-7.5%,"$1,037,621","16,498,706,222",30 Billion,"$43,802,726"
NEST,Nest Protocol,$0.00729562,-1.1%,-10.0%,-10.3%,-32.7%,"$2,660,099","5,929,658,303",10 Billion,"$43,633,973"
AXN,Axion,$0.00000361,-0.0%,-1.1%,6.4%,-19.2%,$244,0,-,"$17,300,936"
